FEATURE,IMPORTANCE,CORRELATION
投資信託_WOW_NET,0.5148061320951764,0.5148061320951764
法人_WOW_NET,0.4930186884942242,0.4930186884942242
投資信託_BUY_RATIO,0.4517220753213495,0.4517220753213495
投資信託_CURR_NET,0.4485592468932608,0.4485592468932608
N225_NIGHT_CLOSE,0.3703234030040393,-0.3703234030040393
N225_NIGHT_LOW,0.36760748604490673,-0.36760748604490673
N225_DAY_LOW,0.3618096166013633,-0.3618096166013633
法人_ROLL12_NET,0.36160614393596224,0.36160614393596224
法人_CURR_NET,0.3570920438807155,0.3570920438807155
N225_DAY_CLOSE,0.35684951015934036,-0.35684951015934036
N225_DAY_VOLUME,0.3275330681985662,0.3275330681985662
N225_DAY_HIGH,0.3199338657507936,-0.3199338657507936
N225_NIGHT_HIGH,0.3005060326589613,-0.3005060326589613
法人_BUY_RATIO,0.29321587464230825,0.29321587464230825
N225_DAY_OPEN,0.29167194286446185,-0.29167194286446185
N225_NIGHT_OPEN,0.2908866391921775,-0.2908866391921775
信託銀行_WOW_NET,0.2902739765941445,0.2902739765941445
N225_NIGHT_VOLUME,0.2890238926633968,0.2890238926633968
金融機関_WOW_NET,0.28625063839009945,0.28625063839009945
法人_PREV_NET,0.2836954419632702,-0.2836954419632702
個人_MOM4,0.26149980843879467,0.26149980843879467
海外投資家_SELL_RATIO,0.25451047611851707,0.25451047611851707
信託銀行_PREV_NET,0.2513182868747228,-0.2513182868747228
金融機関_PREV_NET,0.24892265336708286,-0.24892265336708286
投資信託_PREV_NET,0.2440322757416321,-0.2440322757416321
投資信託_MOM4,0.23222156570035948,0.23222156570035948
N225_DAY_BAR_COUNT,0.22855901902087114,0.22855901902087114
N225_NIGHT_BAR_COUNT,0.22855901902087114,0.22855901902087114
個人_CURR_NET,0.223828837191166,0.223828837191166
個人_SELL_RATIO,0.20891420098882724,-0.20891420098882724
個人_PREV_NET,0.20822799764144367,0.20822799764144367
信託銀行_BUY_RATIO,0.2072719520717571,0.2072719520717571
個人_BUY_RATIO,0.20205675331007983,-0.20205675331007983
投資信託_ROLL12_NET,0.18955521897392777,0.18955521897392777
海外投資家_MOM4,0.18937064981591842,0.18937064981591842
金融機関_ROLL8_NET,0.18593756686736185,0.18593756686736185
金融機関_BUY_RATIO,0.18527499325722116,0.18527499325722116
法人_ROLL8_NET,0.18349586610717802,0.18349586610717802
海外投資家_WOW_NET,0.18305121814231967,0.18305121814231967
信託銀行_ROLL12_NET,0.18091016428396647,0.18091016428396647
信託銀行_ROLL8_NET,0.16632771727370704,0.16632771727370704
海外投資家_CURR_NET,0.16060552736141057,0.16060552736141057
投資信託_ROLL8_NET,0.15181866076909006,0.15181866076909006
金融機関_MOM4,0.14022478971596572,-0.14022478971596572
信託銀行_MOM4,0.12692552078127206,-0.12692552078127206
金融機関_ROLL12_NET,0.12059324315014283,0.12059324315014283
個人_ROLL4_NET,0.120318745654896,0.120318745654896
法人_ROLL4_NET,0.11727566307291755,-0.11727566307291755
信託銀行_CURR_NET,0.11584861575503073,0.11584861575503073
金融機関_CURR_NET,0.11261410232461347,0.11261410232461347
信託銀行_ROLL4_NET,0.1071478713682137,-0.1071478713682137
個人_ROLL12_NET,0.10286990037598513,0.10286990037598513
法人_SELL_RATIO,0.08513895254423673,-0.08513895254423673
海外投資家_ROLL8_NET,0.07746775559717889,-0.07746775559717889
海外投資家_PREV_NET,0.0754780173114429,-0.0754780173114429
海外投資家_ROLL4_NET,0.0698492775313857,0.0698492775313857
海外投資家_ROLL12_NET,0.061100143642200413,-0.061100143642200413
金融機関_ROLL4_NET,0.05788230788489763,-0.05788230788489763
海外投資家_BUY_RATIO,0.05435115094330032,0.05435115094330032
個人_ROLL8_NET,0.04623122492851493,0.04623122492851493
投資信託_ROLL4_NET,0.02974120090453854,-0.02974120090453854
法人_MOM4,0.027783500495499477,0.027783500495499477
信託銀行_SELL_RATIO,0.01887579767778883,0.01887579767778883
投資信託_SELL_RATIO,0.014362847358864433,0.014362847358864433
個人_WOW_NET,0.011900469928753378,0.011900469928753378
金融機関_SELL_RATIO,0.0015819939198008467,0.0015819939198008467
